folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Clinical Data/Vital Signs,arm_right2,Second blood pressure from right arm,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,"","","","",""
Clinical Data/Vital Signs,arm_right_repeat,"First repeat of blood pressure from right arm, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,"","","","",""
Clinical Data/Vital Signs,arm_right_repeat2,"Second repeat of blood pressure from right arm, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,"","","","",""
Clinical Data/Vital Signs,dbp_mean,Mean of seated diastolic pressures,"Mean of two standard seated blood pressure measurements on the night of the PSG. If repeat measurements were taken, the mean of the closest two measurements.",numeric,mm Hg,"",sitdiam,"",true,""
Clinical Data/Vital Signs,sbp_mean,Mean of seated systolic measures,"Mean of two standard seated blood pressure measurements on the night of the PSG. If repeat measurements were taken, the mean of the closest two measurements.",numeric,mm Hg,"",sitsysm,"",true,""
Demographics/Education,education_survey1,Highest education level completed by the participant,"",choices,"",education,ses;socioeconomic,"","",""
Demographics/Employment,shift_worker,Shift Worker (from Health Interview),"",choices,"",noyes01,mslt,"","",""
Demographics,age,Age of the participant,Age at time of study visit,integer,years (truncated),"","","",true,""
Demographics,race,Race of the participant,"",choices,"",pptrace,"","",true,""
Demographics,sex,Sex of the participant,"",choices,"",gender,"","",true,""
General Health/State Trait Anxiety Inventory,state,State-Trait Anxiety Inventory (State Anxiety Subscale) Score ,"Sum of 20 items from State Anxiety Questionnaire. When there are 2 or less missing, the average of all of the other scores are used to create the sum variable",numeric,"","",stais_score;stait;stai,(sum of scores for individual questions),true,wsc_state_anxiety_form
General Health/State Trait Anxiety Inventory,trait,Trait Anxiety Score ,"Sum of 20 items from Trait Anxiety Questionnaire. When there are 2 or less missing, the average of all of the other scores are used to create the sum variable",numeric,"","",stait_score;stait;stai,(sum of scores for individual questions),true,wsc_trait_anxiety_form
General Health/Zung Depression Scale,zung10_scored,Zung Depression Scale Item: I get tired for no reason.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittle,zung_10tired;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung11_scored,Zung Depression Scale Item: My mind is as clear as it used to be.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittlerev,zung_11clear;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung12_scored,Zung Depression Scale Item: I find it easy to do the things I used to do.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittlerev,zung_12easy;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung13_scored,Zung Depression Scale Item: I am restless and can not keep still.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittle,zung_13restless;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung14_scored,Zung Depression Scale Item: I feel hopeful about the future.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittlerev,zung_14hope;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung15_scored,Zung Depression Scale Item: I am more irritable than usual.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittle,zung_15irritable;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung16_scored,Zung Depression Scale Item: I find it easy to make decisions. ,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittlerev,zung_16decision;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung17_scored,Zung Depression Scale Item: I feel that I am useful and needed.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittlerev,zung_17useful;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung18_scored,Zung Depression Scale Item: My life is pretty full.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittlerev,zung_18lifefull;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung19_scored,Zung Depression Scale Item: I feel that others would be better off if I were dead.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittle,zung_19dead;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung1_scored,"Zung Depression Scale Item: I feel down-hearted, blue and sad.",Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittle,zung_01sad;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung20_scored,Zung Depression Scale Item: I still enjoy the things I used to do.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittlerev,zung_20enjoy;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung2_scored,Zung Depression Scale Item: Morning is when I feel the best.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittlerev,zung_02morning;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung3_scored,Zung Depression Scale Item: I have crying spells or feel like it.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittle,zung_03cry;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung4_scored,Zung Depression Scale Item: I have trouble sleeping through the night.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittle,zung_04sleep;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung5_scored,Zung Depression Scale Item: I eat as much as I used to.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittlerev,zung_05eat;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung6_scored,"Zung Depression Scale Item: I enjoy looking at, talking to and being with attractive women/men.",Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittlerev,zung_06attract;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung7_scored,Zung Depression Scale Item: I notice that I am losing weight.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittle,zung_07weight;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung8_scored,Zung Depression Scale Item: I have trouble with constipation.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittle,zung_08constipation;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung9_scored,Zung Depression Scale Item: My heart beats faster than usual.,Items from the Zung Depression Scale [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692)<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung),choices,"",noneoralittle,zung_09heart;zung,"","",wsc_zung_depression_form
General Health/Zung Depression Scale,zung_index,Standardized Zung Depression Scale Total Score,Scaled Zung Depression Scale score used with clinical cutpoints,numeric,"","",zung,100*(zung_score / 80),true,wsc_zung_depression_form
General Health/Zung Depression Scale,zung_score,Zung Depression Scale Total Score,"Summary score for the Zung Depression Scale.  [Zung WW 1965 (PubMed ID: 14221692)](https://www.ncbi.nlm.nih.gov/pubmed/14221692) Individual item range from 1 to 4. A total score is derived by summing the individual item scores, ranging  from 20 to 80. A score of 70 and above indicates severe depression.<br><br>[Search for all Zung Depression Scale variables within this dataset](https://sleepdata.org/datasets/wsc/variables?search=zung)",numeric,"","",zung,sum (zung1_scored:zung20_scored),"",wsc_zung_depression_form
General Health,eval_health,Self-reported general health,"In general, would you say your health is (check one):",choices,"",healthrating,general_health,"","",wsc_health_interview_form
General Health,eval_life,Self-reported satisfaction with life,How satisfied are you with the way you are spending your life (check one)?,choices,"",slpsatisfaction,life_satisfaction,"","",wsc_health_interview_form
Harmonized/Anthropometry,nsrr_bmi,Body mass index (BMI),"Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :bmi:",numeric,kilograms per square meter,"",bmi_baseline_1,"",true,""
Harmonized/Clinical Data,nsrr_bp_diastolic,Diastolic blood pressure,"Average resting diastolic blood pressure of two measurements collected from the upper arm in a single clinic visit.When more than two measurements were collected, the average was calculated using the two closest measurements.<br><br>Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>.  Source: :dbp_mean:",numeric,mm Hg,"",bp_diastolic,"",true,""
Harmonized/Clinical Data,nsrr_bp_systolic,Systolic blood pressure,"Average resting systolic blood pressure of two measurements collected from the upper arm in a single clinic visit. When more than two measurements were collected, the average was calculated using the two closest measurements.<br><br>Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :sbp_mean:",numeric,mm Hg,"",bp_systolic,"",true,""
Harmonized/Demographics,nsrr_age,Subject age,"Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :age:",numeric,years,"",age,"",true,""
Harmonized/Demographics,nsrr_age_gt89,Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years,"Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :age:",choices,"",nsrr_age_gt89,age_gt89,"",true,""
Harmonized/Demographics,nsrr_race,Subject race,"Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :race:",choices,"",nsrr_race,race,"",true,""
Harmonized/Demographics,nsrr_sex,Subject sex,"Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :sex:",choices,"",nsrr_sex,annotated_sex,"",true,""
Harmonized/Lifestyle and Behavioral Health,nsrr_current_smoker,Currently smoking cigarettes,"Indicates whether subject currently smokes cigarettes. <br><br>Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :smoke_curr:",choices,"",nsrr_current_smoker,current_smoker;smoking,"",true,""
Harmonized/Lifestyle and Behavioral Health,nsrr_ever_smoker,Ever smoked cigarettes,"Indicates whether subject ever regularly smoked cigarettes. <br><br>Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :smoke:",choices,"",nsrr_ever_smoker,ever_smoker;smoking,"",true,""
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_ahi_hp3u,Apnea-Hypopnea Index : (All apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep,Harmonized by the NSRR team. Refer to the source for detailed definition for respiratory events: :ahi3:,numeric,events per hour,"",ahi_ap0uhp3x3u_f1t1,"",true,""
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_ahi_hp4u_aasm15,Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction with >= 4% oxygen desaturation) / hour of sleep,"Harmonized by the NSRR team.<br><br>The definition of hypopnea events is consistent with the following clinical guidelines: (1) AASM 2012 update (alternative) [Berry RB et al. 2012 (PubMed ID:23066376)](https://www.ncbi.nlm.nih.gov/pubmed/23066376), and (2) AASM 2015 (acceptable) [Berry RB et al. The AASM Manual for the Scoring of Sleep and Associated Events: Rules, Terminology and Technical Specifications, Version 2.2. American Academy of Sleep Medicine, Darien, IL, 2015.].<br><br> Refer to the source for detailed definition for respiratory events: :ahi:",numeric,events per hour,"",ahi_ap0uhp3x4u_f1t1,"",true,""
Harmonized/Polysomnography/Sleep Architecture,nsrr_pctdursp_s1,"Percentage of total sleep duration (i.e., total sleep time, TST) in stage 1 from polysomnography",Harmonized by the NSRR team. Source: :pcttststagen1:,numeric,percent (%),"",pctdursp_s1_f1t1,"",true,""
Harmonized/Polysomnography/Sleep Architecture,nsrr_pctdursp_s2,"Percentage of total sleep duration (i.e., total sleep time, TST) in stage 2 from polysomnography",Harmonized by the NSRR team. Source: :pcttststagen2:,numeric,percent (%),"",pctdursp_s2_f1t1,"",true,""
Harmonized/Polysomnography/Sleep Architecture,nsrr_pctdursp_s3,"Percentage of total sleep duration (i.e., total sleep time, TST) in stage 3/4 from polysomnography",Harmonized by the NSRR team. Source: :pcttststage34:,numeric,percent (%),"",pctdursp_s3_f1t1,"",true,""
Harmonized/Polysomnography/Sleep Architecture,nsrr_pctdursp_sr,"Percentage of total sleep duration (i.e., total sleep time, TST) in REM from polysomnography",Harmonized by the NSRR team. Source: :pcttstrem:,numeric,percent (%),"",pctdursp_sr_f1t1,"",true,""
Harmonized/Polysomnography/Sleep Architecture,nsrr_ttldursp_f1,Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from polysomnography,"Conventionally, this would be called total sleep time (TST) (i.e. total time spent in stage 1 or greater).<br><br>Harmonized by the NSRR team. Source: :tst:",numeric,minutes,"",ttldursp_f1t1,"",true,""
Harmonized/Polysomnography/Sleep Architecture,nsrr_ttldurws_f1,Wake After Sleep Onset: the total duration being awake between sleep onset and lights-on/out-bed time from polysomnography,Harmonized by the NSRR team. Source: :waso:,numeric,minutes (min),"",ttldurws_f1t1;waso,"",true,""
Harmonized/Polysomnography/Sleep Architecture,nsrr_ttleffsp_f1,"Sleep Efficiency: the ratio of total sleep duration (i.e., total sleep time) to in-bed period (i.e., time in bed) from polysomnography",Harmonized by the NSRR team. Source: :se:,numeric,percent (%),"",ttleffsp_f1t1,"",true,""
Harmonized/Polysomnography/Sleep Architecture,nsrr_ttllatsp_f1,Sleep Latency: the interval between lights-out/in-bed time and sleep onset from polysomnography,Harmonized by the NSRR team. Source: :sleep_latency:,numeric,percent (%),"",ttllatsp_f1t1,"",true,""
Harmonized/Polysomnography/Sleep Architecture,nsrr_ttlprdsp_s1sr,REM Sleep Latency: the interval between sleep onset and the first epoch of REM sleep including wake from polysomnography,Harmonized by the NSRR team. Source: :rem_latency:,numeric,minutes (min),"",ttlprdsp_s1sr_f1t1,"",true,""
Lifestyle and Behavioral Health,alcohol_wk,"Alcohol consumption, number of beverages per week","",numeric,beverages/week,"","","sum(of beer_week, hard_week, wine_week), 0 if nondrinker=""Y""","",wsc_health_interview_form
Lifestyle and Behavioral Health,beer_week,"Alcohol consumption, number of beers per week","Please estimate your usual consumption of alcoholic beverages,How many cans or bottles of beer might you have per week? ",numeric,cans/bottles,"","","","",wsc_health_interview_form
Lifestyle and Behavioral Health,bowls_day,"Pipe smoking, number of bowls per day","How much do you smoke now, OR if you quit smoking, how much did you smoke in the past (answer all that apply)? Bowls of pipe tobacco per day",integer,"","",smoking,"","",wsc_health_interview_form
Lifestyle and Behavioral Health,caffeine,Caffeine intake - beverages per day,"",numeric,beverages/day,"",sleep_hygiene,"sum(of cups_coffee, cans_cola)","",wsc_health_interview_form
Lifestyle and Behavioral Health,cans_cola,Caffeine intake - soft drinks per day,"How many cans of cola or other soft drinks, with caffeine, do you usually drink in a typical day? Modified in 2012: Energy drinks was added.",numeric,cans,"",sleep_hygiene,"","",wsc_health_interview_form
Lifestyle and Behavioral Health,cigars_day,"Cigar smoking, number per day","How much do you smoke now, OR if you quit smoking, how much did you smoke in the past (answer all that apply)? Cigars per day",integer,"","","","","",wsc_health_interview_form
Lifestyle and Behavioral Health,cups_coffee,"Caffeine intake, number of cups of coffee or tea per day","How many cups of coffee or tea, with caffeine, do you usually drink in a typical day? ",numeric,cups,"",sleep_hygiene,"","",wsc_health_interview_form
Lifestyle and Behavioral Health,hard_week,"Alcohol consumption, number of hard drinks per week","Please estimate your usual consumption of alcoholic beverages,How many mixed drinks or shots might you have per week? ",numeric,mixed drinks/shots,"","","","",wsc_health_interview_form
Lifestyle and Behavioral Health,nondrinker,"Alcohol consumption, none",If you do not drink alcoholic beverages at all check here ____ ,choices,"",noyesny,"","","",wsc_health_interview_form
Lifestyle and Behavioral Health,pack_years,"Cigarette smoking, number of pack-years","",numeric,pack years,"",smoking,"if smoker=0 then pack_years=0, else pack_years=packs_week*smoke_years","",wsc_health_interview_form
Lifestyle and Behavioral Health,packs_week,"Cigarette smoking, packs per week","How much do you smoke now, OR if you quit smoking, how much did you smoke in the past (answer all that apply)? packs per week",numeric,"","",smoking,"","",wsc_health_interview_form
Lifestyle and Behavioral Health,smoke,"Smoking, ever",Have you ever smoked tobacco regularly?,choices,"",noyesny,smoking,"","",wsc_health_interview_form
Lifestyle and Behavioral Health,smoke_curr,"Smoking, current",Do you currently smoke? ,choices,"",noyesny,smoking,"","",wsc_health_interview_form
Lifestyle and Behavioral Health,smoke_quit,"Smoking, prior, year quit","If no, when did you quit? ",numeric,year,"",smoking,"","",wsc_health_interview_form
Lifestyle and Behavioral Health,smoke_years,"Smoking, number of years","Overall, how many years total, have you been OR were you a regular smoker? ",numeric,"","",smoking,"","",wsc_health_interview_form
Lifestyle and Behavioral Health,smoker,"Smoker, current, past, or never","Current, Past or Never Smoker",choices,"",smokinghistory,smoking,"if smoke=N then smoker=0, else if smoke_curr=N then smoker=1","",wsc_health_interview_form
Lifestyle and Behavioral Health,wine_week,"Alcohol consumption, number of glasses of wine per week","Please estimate your usual consumption of alcoholic beverages,How many glasses of wine might you have per week? ",numeric,glasses,"","","","",wsc_health_interview_form
Medical History/Medications,androgen_med,Androgen: Self-reported use,"Self-reported drugs at PSG visit, open text then grouped according to effect",choices,"",takingornot,"","","",wsc_medications_form
Medical History/Medications,antihistamines_med,Antihistamine: Self-reported use,"Self-reported drugs at PSG visit, open text then grouped according to effect",choices,"",takingornot,"","","",wsc_medications_form
